#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	software
#open	2019-02-15-16-27-02
#fields	ts	host	host_p	software_type	name	version.major	version.minor	version.minor2	version.minor3	version.addl	unparsed_version	o_host	QQ_num	o_host
#types	time	addr	port	enum	string	count	count	count	count	string	string	addr	string	addr
1550266482.357528	10.200.2.252	-	HTTP::BROWSER	Firefox	34	0	-	-	-	Mozilla/5.0 (Windows NT 6.1; rv:34.0) Gecko/20100101 Firefox/34.0	-	-	-
1550266482.358522	10.200.2.252	-	HTTP::BROWSER	Chrome	37	0	2062	102	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.102 Safari/537.36	-	-	-
1550266482.358561	10.200.2.252	-	HTTP::BROWSER	Chrome	39	0	2171	95	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36	-	-	-
1550266482.360211	10.200.2.252	-	HTTP::BROWSER	Chrome	35	0	1916	153	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	-	-	-
1550266482.360257	10.200.2.252	-	HTTP::BROWSER	Chrome	38	0	2125	111	-	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	-	-
1550266482.360301	10.200.2.252	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)	-	-	-
1550266482.360341	10.200.2.252	-	HTTP::BROWSER	Chrome	37	0	2062	103	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36	-	-	-
1550266482.360576	10.200.2.252	-	HTTP::BROWSER	Firefox	35	0	-	-	-	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0	-	-	-
1550266482.360680	10.200.2.252	-	HTTP::BROWSER	Chrome	37	0	2062	120	-	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36	-	-	-
1550266482.360699	10.200.2.252	-	HTTP::BROWSER	MSIE	9	0	-	-	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	-	-	-
1550266482.365440	10.200.2.252	-	HTTP::BROWSER	Firefox	33	0	-	-	-	Mozilla/5.0 (Windows NT 5.1; rv:33.0) Gecko/20100101 Firefox/33.0	-	-	-
1550266482.365471	10.200.2.252	-	HTTP::BROWSER	Chrome	36	0	1985	143	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36	-	-	-
1550266482.365534	10.200.2.252	-	HTTP::BROWSER	Chrome	38	0	2125	111	-	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	-	-
1550266482.365575	10.200.2.252	-	HTTP::BROWSER	Firefox	35	0	-	-	-	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0	-	-	-
1550266482.366160	10.200.2.252	-	HTTP::BROWSER	Firefox	33	0	-	-	-	Mozilla/5.0 (Windows NT 5.1; rv:33.0) Gecko/20100101 Firefox/33.0	-	-	-
